都道府県,年度,排出量合計,CO2排出原単位要因,エネルギー消費効率要因,一人当たり総生産要因,人口要因,CO2排出原単位要因_変化率,エネルギー消費効率要因_変化率,一人当たり総生産要因_変化率,人口要因_変化率,排出量増減,CO2排出原単位要因_増減,エネルギー消費効率要因_増減,一人当たり総生産要因_増減,人口要因_増減,排出量増減率
岐阜県,2020,13510.4,2.3199704721338917e-07,7715.972730741996,3.814221358822929,1978742,-0.10295067507340548,-0.1556538111468721,0.07658579766584822,-0.044691941777992995,-3833.199999999999,-1740.679416367627,-2631.7786158210924,1294.9047831690734,-755.6467509803525,-0.2210152448165317
静岡県,2011,31976.3,2.483479772851057e-07,7519.563325991793,4.564200199064599,3751546,0.0,0.0,0.0,0.0,0.0,,,,,0.0
静岡県,2012,32602.2,2.570301375404042e-07,7361.281653876709,4.608133344422904,3739249,0.034959657615134435,-0.021049316995306683,0.009625595601023097,-0.003277848652262294,625.9000000000015,1080.1241542287019,-650.3460636526615,297.395312676108,-101.27340325214698,0.01957387189887515
静岡県,2013,31645.1,2.6224038515803974e-07,6878.64170295252,4.7033747484502175,3729878,0.0559392833587906,-0.08523388862540614,0.03049264784970241,-0.005775752183233259,-331.2000000000007,4047.240272261708,-6166.722308429495,2206.1611264066446,-417.8790902388584,-0.010357671150195636
静岡県,2014,30068.0,2.56503101153319e-07,6808.492857182893,4.634978369196228,3714610,0.03283748858099676,-0.09456273429482866,0.015507244871978678,-0.009845541011625608,-1908.2999999999993,1117.7278029077595,-3218.74180419131,527.8381352811488,-335.1241339975973,-0.05967857444419771
静岡県,2015,28283.2,2.5483386078376047e-07,6332.394485687259,4.736591443137796,3700305,0.026116111633189977,-0.15787736452740797,0.03777030729469905,-0.013658635666469236,-3693.0999999999985,895.9571485393876,-5416.248610345376,1295.7739382691368,-468.58247646314675,-0.11549491342025184
静岡県,2016,27691.2,2.513172165158217e-07,6228.0593552060855,4.794096446725267,3690286,0.011955963012765984,-0.17175252269258132,0.05036944867312869,-0.016329267987117844,-4285.0999999999985,407.3948177891439,-5852.4008155979,1716.3194919905984,-556.4134941818412,-0.13400862513799278
静岡県,2017,27297.2,2.5201269829484787e-07,6008.469473300507,4.89801420551647,3680542,0.014756395642131647,-0.20095500060064728,0.07313745933412039,-0.018926597194863132,-4679.0999999999985,523.1292646897477,-7124.059577245006,2592.7974724055175,-670.9671598502579,-0.14633025084202983
静岡県,2018,26772.5,2.4162778258613703e-07,6068.78894208687,4.979324729842028,3666651,-0.027059591032037457,-0.19293332883975328,0.09095230548005007,-0.02262933734519049,-5203.799999999999,-928.4152740864164,-6619.547544642889,3120.575973268659,-776.4131545393537,-0.16273927877834518
静岡県,2019,25208.3,2.425731829087583e-07,5789.36812294738,4.913811671026539,3653012,-0.023252834347500726,-0.23009251043393658,0.07659862773626594,-0.026264905188420985,-6768.0,-775.2028240176488,-7670.822455795349,2553.6444998332954,-875.6192200202966,-0.21165675828660602
